Full Name;Passport Number;Date of Birth;Nationality;Visa Type;Arrival Date;Departure Date;Immigration Status
Joshua Allen;710308912;1961-07-15;Korea;Tourist;2012-06-14;2001-05-06;Expired
Julian Gregory;548681454;1968-08-18;Uzbekistan;Diplomatic;2021-11-19;2017-09-28;Expired
Jessica Guzman;382552715;1952-11-21;Ireland;Tourist;2009-04-18;2010-04-14;Expired
Scott Mccarthy;892034665;1999-12-07;Guernsey;Diplomatic;2019-07-04;2020-04-21;Pending
Ryan Howard;936811248;1960-08-21;Czech Republic;Diplomatic;2003-11-26;2001-09-03;Pending
Theresa Ortega;315868964;1984-09-14;Grenada;Tourist;2007-06-25;2007-03-04;Valid
Gina Dickson;410230958;1992-07-13;Greece;Tourist;2022-08-29;2014-04-17;Valid
Alison Thornton;307997922;1977-09-06;Saint Vincent and the Grenadines;Tourist;2006-03-23;2021-01-10;Valid
Carolyn Ingram;283997638;1981-10-14;Estonia;Student;2010-08-13;2023-07-24;Valid
Jennifer Shannon;306369589;1974-08-09;Anguilla;Work;2007-05-14;2008-03-31;Pending
John Braun;524092806;1983-01-10;Antigua and Barbuda;Tourist;2005-10-18;2009-01-29;Valid
Ms. Andrea Curtis DDS;332777605;1955-05-30;Malta;Diplomatic;2010-06-26;2019-12-09;Valid
Christopher Sherman;621753706;1977-05-26;Bulgaria;Student;2003-03-29;2009-02-17;Valid
Michael Foster;690410517;1985-05-07;Palau;Student;2006-09-13;2008-02-20;Pending
James Walker;54610611;2003-12-15;Equatorial Guinea;Work;2018-01-07;2011-10-10;Valid
Kevin Reynolds;442194607;1971-03-22;Spain;Work;2021-03-26;2008-07-21;Expired
Amanda Smith;40900518;1972-05-20;Azerbaijan;Student;2002-01-19;2007-08-25;Pending
Eric Shaw;732839056;2004-02-06;Sri Lanka;Work;2010-01-28;2006-10-11;Expired
Joyce Bryant;789459280;1984-04-23;Australia;Diplomatic;2004-09-24;2011-11-01;Expired
Benjamin Garcia;782814063;1965-04-30;Argentina;Work;2017-04-06;2009-02-07;Valid
Alan Wade;268805344;1975-03-31;Gabon;Work;2008-11-10;2007-05-02;Valid
Diane Ramirez;424758551;1961-11-30;Liberia;Student;2007-03-15;2007-03-05;Pending
Jeffrey Evans;423547936;1953-06-18;Bhutan;Student;2015-04-11;2013-04-03;Expired
Richard Lee;48485942;1978-10-31;Western Sahara;Diplomatic;2014-01-09;2007-02-13;Pending
Richard Austin;765695122;1985-09-18;French Southern Territories;Student;2006-11-30;2013-01-13;Expired
Donald Carpenter;502568908;1966-07-30;Turkmenistan;Student;2022-05-04;2012-07-13;Pending
Amanda Gonzalez;428348670;1998-05-12;Belize;Diplomatic;2016-01-13;2010-07-24;Expired
Gabriella Sullivan MD;53224671;1976-10-26;Reunion;Tourist;2023-07-02;2017-04-06;Pending
Omar Robertson;89237266;1990-10-01;Bhutan;Diplomatic;2013-01-01;2017-04-18;Pending
Marisa Daniels;486434566;1966-12-02;Canada;Tourist;2001-03-01;2019-08-08;Expired
Amanda Garrett;500820587;1963-12-29;Finland;Work;2008-10-10;2012-03-02;Valid
Nicholas Brown;482698742;1956-07-06;Gabon;Student;2007-04-19;2006-09-10;Expired
Natalie Herring;404494754;1959-08-01;Korea;Diplomatic;2013-06-07;2018-11-25;Expired
Brandon Martinez;625311001;1987-12-13;Bosnia and Herzegovina;Work;2016-04-04;2013-03-20;Pending
Duane Willis;327421610;1988-03-23;Saint Kitts and Nevis;Tourist;2019-10-07;2007-07-26;Valid
Christopher Holden;30475591;1953-03-12;Tajikistan;Student;2005-06-19;2021-10-01;Expired
Billy Schmitt;617760577;1981-05-13;Guinea-Bissau;Diplomatic;2020-10-24;2000-10-27;Valid
Raymond Miles;411405650;2005-10-05;Antarctica (the territory South of 60 deg S);Student;2011-04-30;2013-09-18;Valid
Aaron Valdez;68494799;1983-12-14;Guatemala;Work;2013-03-10;2016-05-06;Expired
Cheyenne Davis;929876014;1998-10-12;Tajikistan;Work;2007-12-07;2000-09-03;Valid
Zachary Kaiser;52548121;1988-02-05;Spain;Diplomatic;2005-05-28;2015-08-04;Pending
Jerry Williams;942347912;1989-06-30;Lesotho;Work;2011-10-07;2021-11-17;Expired
Mary Fisher;374583369;1993-05-08;Micronesia;Diplomatic;2013-03-26;2014-02-15;Valid
Thomas Cooper;522718269;1958-01-03;Argentina;Diplomatic;2022-11-08;2018-11-26;Pending
Carrie Mcfarland;856851473;1983-05-31;Rwanda;Tourist;2016-12-25;2017-08-16;Expired
Matthew Padilla;992798981;1960-08-20;Venezuela;Diplomatic;2013-06-19;2002-07-11;Expired
Michelle Mendoza;967471559;1953-01-05;Ethiopia;Student;2003-07-22;2015-11-16;Valid
Jennifer Murphy;319999625;2004-07-14;Congo;Student;2000-02-18;2016-01-08;Pending
Vickie Brady;852910604;1993-02-12;Bosnia and Herzegovina;Student;2018-01-29;2018-09-08;Valid
Melissa Black;843231140;1981-07-27;Turkmenistan;Work;2004-07-30;2014-02-09;Pending
